cue_type	current_mean_accuracy	duration	duration_error	is_hit	isi_adjusted	onset	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	index
Control	0.6225999999999999	0.48	n/a	No	2.624	498.156	n/a	n/a	NoResponse	0	n/a	n/a	1	52	Blank	Neutral	n/a
Control	0.6225999999999999	0.3	0.004	No	2.624	498.209	-0.004	2.0	NoResponse	0	0.287	n/a	1	52	ButtonPress	Neutral	314.0
Control	0.6225999999999999	1.45	n/a	No	2.624	498.624	n/a	5.0	NoResponse	0	0.006	498.63	1	52	Feedback	Neutral	n/a
Control	0.6225999999999999	2.624	n/a	No	2.624	500.079	n/a	n/a	NoResponse	0	0.0	n/a	1	52	ISIslide	Neutral	n/a
Win2	0.6296	0.25	0.0	Yes	2.93	502.72	0.02	n/a	GoodResponse	1	n/a	n/a	2	53	Cue	Win	n/a
Win2	0.6296	4.05	0.0	Yes	2.93	502.971	0.001	n/a	GoodResponse	1	n/a	n/a	2	53	Fixation	Win	n/a
Win2	0.6296	0.23	0.004	Yes	2.93	507.016	-0.004	2.0	GoodResponse	1	0.196	507.212	2	53	Target	Win	n/a
Win2	0.6296	0.3	0.004	Yes	2.93	507.212	-0.004	2.0	GoodResponse	1	0.196	n/a	2	53	ButtonPress	Win	320.0
Win2	0.6296	0.47	n/a	Yes	2.93	507.25	n/a	n/a	GoodResponse	1	n/a	n/a	2	53	Blank	Win	n/a
Win2	0.6296	1.45	n/a	Yes	2.93	507.718	n/a	5.0	GoodResponse	1	0.032	507.75	2	53	Feedback	Win	n/a
Win2	0.6296	2.93	n/a	Yes	2.93	509.173	n/a	n/a	GoodResponse	1	0.0	n/a	2	53	ISIslide	Win	n/a
Win2	0.6364	0.25	0.0	Yes	2.718	512.132	0.032	n/a	GoodResponse	1	n/a	n/a	3	54	Cue	Win	n/a
Win2	0.6364	3.95	0.0	Yes	2.718	512.382	0.0	n/a	GoodResponse	1	n/a	n/a	3	54	Fixation	Win	n/a
Win2	0.6364	0.24	0.0	Yes	2.718	516.344	0.012	2.0	GoodResponse	1	0.199	516.543	3	54	Target	Win	n/a
Win2	0.6364	0.3	0.0	Yes	2.718	516.543	0.012	2.0	GoodResponse	1	0.199	n/a	3	54	ButtonPress	Win	326.0
Win2	0.6364	0.46	n/a	Yes	2.718	516.578	n/a	n/a	GoodResponse	1	n/a	n/a	3	54	Blank	Win	n/a
Win2	0.6364	1.45	n/a	Yes	2.718	517.029	n/a	5.0	GoodResponse	1	0.038	517.067	3	54	Feedback	Win	n/a
Win2	0.6364	2.718	n/a	Yes	2.718	518.484	n/a	n/a	GoodResponse	1	0.0	n/a	3	54	ISIslide	Win	n/a
Control	0.6429	0.25	0.0	Yes	3.025	521.225	0.025	n/a	GoodResponse	0	n/a	n/a	3	55	Cue	Neutral	n/a
Control	0.6429	3.95	0.0	Yes	3.025	521.476	0.001	n/a	GoodResponse	0	n/a	n/a	3	55	Fixation	Neutral	n/a
Control	0.6429	0.25	0.004	Yes	3.025	525.421	-0.004	2.0	GoodResponse	0	0.216	525.637	3	55	Target	Neutral	n/a
Control	0.6429	0.3	0.004	Yes	3.025	525.637	-0.004	2.0	GoodResponse	0	0.216	n/a	3	55	ButtonPress	Neutral	332.0
Control	0.6429	0.45	n/a	Yes	3.025	525.672	n/a	n/a	GoodResponse	0	n/a	n/a	3	55	Blank	Neutral	n/a
Control	0.6429	1.45	n/a	Yes	3.025	526.123	n/a	5.0	GoodResponse	0	0.018	526.141	3	55	Feedback	Neutral	n/a
Control	0.6429	3.025	n/a	Yes	3.025	527.578	n/a	n/a	GoodResponse	0	0.0	n/a	3	55	ISIslide	Neutral	n/a
Control	0.6491	0.25	0.0	Yes	2.83	530.62	0.02	n/a	GoodResponse	0	n/a	n/a	3	56	Cue	Neutral	n/a
Control	0.6491	3.95	0.0	Yes	2.83	530.871	0.001	n/a	GoodResponse	0	n/a	n/a	3	56	Fixation	Neutral	n/a
Control	0.6491	0.26	0.004	Yes	2.83	534.816	-0.004	2.0	GoodResponse	0	0.188	535.004	3	56	Target	Neutral	n/a
Control	0.6491	0.3	0.004	Yes	2.83	535.004	-0.004	2.0	GoodResponse	0	0.188	n/a	3	56	ButtonPress	Neutral	338.0
Control	0.6491	0.44	n/a	Yes	2.83	535.083	n/a	n/a	GoodResponse	0	n/a	n/a	3	56	Blank	Neutral	n/a
Control	0.6491	1.45	n/a	Yes	2.83	535.518	n/a	5.0	GoodResponse	0	0.037	535.555	3	56	Feedback	Neutral	n/a
Control	0.6491	2.83	n/a	Yes	2.83	536.972	n/a	n/a	GoodResponse	0	0.0	n/a	3	56	ISIslide	Neutral	n/a
Control	0.6552	0.25	0.0	Yes	3.486	539.814	0.014	n/a	GoodResponse	0	n/a	n/a	3	57	Cue	Neutral	n/a
Control	0.6552	4.0	0.0	Yes	3.486	540.065	0.001	n/a	GoodResponse	0	n/a	n/a	3	57	Fixation	Neutral	n/a
Control	0.6552	0.27	0.004	Yes	3.486	544.06	-0.004	2.0	GoodResponse	0	0.197	544.257	3	57	Target	Neutral	n/a
Control	0.6552	0.3	0.004	Yes	3.486	544.257	-0.004	2.0	GoodResponse	0	0.197	n/a	3	57	ButtonPress	Neutral	344.0
Control	0.6552	0.43	n/a	Yes	3.486	544.344	n/a	n/a	GoodResponse	0	n/a	n/a	3	57	Blank	Neutral	n/a
Control	0.6552	1.45	n/a	Yes	3.486	544.762	n/a	5.0	GoodResponse	0	0.013	544.775	3	57	Feedback	Neutral	n/a
Control	0.6552	3.486	n/a	Yes	3.486	546.217	n/a	n/a	GoodResponse	0	0.0	n/a	3	57	ISIslide	Neutral	n/a
Win2	0.6609999999999999	0.25	0.0	Yes	2.723	549.727	0.027	n/a	GoodResponse	1	n/a	n/a	4	58	Cue	Win	n/a
Win2	0.6609999999999999	4.05	0.0	Yes	2.723	549.978	0.001	n/a	GoodResponse	1	n/a	n/a	4	58	Fixation	Win	n/a
Win2	0.6609999999999999	0.27	0.004	Yes	2.723	554.023	-0.004	2.0	GoodResponse	1	0.193	554.216	4	58	Target	Win	n/a
Win2	0.6609999999999999	0.3	0.004	Yes	2.723	554.216	-0.004	2.0	GoodResponse	1	0.193	n/a	4	58	ButtonPress	Win	350.0
Win2	0.6609999999999999	0.43	n/a	Yes	2.723	554.308	n/a	n/a	GoodResponse	1	n/a	n/a	4	58	Blank	Win	n/a
Win2	0.6609999999999999	1.45	n/a	Yes	2.723	554.726	n/a	5.0	GoodResponse	1	0.048	554.774	4	58	Feedback	Win	n/a
Win2	0.6609999999999999	2.723	n/a	Yes	2.723	556.18	n/a	n/a	GoodResponse	1	0.0	n/a	4	58	ISIslide	Win	n/a
Lose2	0.6667000000000001	0.25	0.001	Yes	2.679	558.921	0.021	n/a	GoodResponse	0	n/a	n/a	4	59	Cue	AvoidedLoss	n/a
Lose2	0.6667000000000001	4.0	0.0	Yes	2.679	559.172	0.001	n/a	GoodResponse	0	n/a	n/a	4	59	Fixation	AvoidedLoss	n/a
Lose2	0.6667000000000001	0.27	0.004	Yes	2.679	563.167	-0.004	2.0	GoodResponse	0	0.223	563.39	4	59	Target	AvoidedLoss	n/a
Lose2	0.6667000000000001	0.3	0.004	Yes	2.679	563.39	-0.004	2.0	GoodResponse	0	0.223	n/a	4	59	ButtonPress	AvoidedLoss	356.0
Lose2	0.6667000000000001	0.43	n/a	Yes	2.679	563.452	n/a	n/a	GoodResponse	0	n/a	n/a	4	59	Blank	AvoidedLoss	n/a
Lose2	0.6667000000000001	1.45	n/a	Yes	2.679	563.87	n/a	5.0	GoodResponse	0	0.026	563.896	4	59	Feedback	AvoidedLoss	n/a
Lose2	0.6667000000000001	2.679	n/a	Yes	2.679	565.324	n/a	n/a	GoodResponse	0	0.0	n/a	4	59	ISIslide	AvoidedLoss	n/a
Control	0.6720999999999999	0.25	0.0	Yes	2.685	568.015	0.015	n/a	GoodResponse	0	n/a	n/a	4	60	Cue	Neutral	n/a
Control	0.6720999999999999	4.0	0.0	Yes	2.685	568.266	0.001	n/a	GoodResponse	0	n/a	n/a	4	60	Fixation	Neutral	n/a
Control	0.6720999999999999	0.26	0.004	Yes	2.685	572.261	-0.004	2.0	GoodResponse	0	0.194	572.455	4	60	Target	Neutral	n/a
Control	0.6720999999999999	0.3	0.004	Yes	2.685	572.455	-0.004	2.0	GoodResponse	0	0.194	n/a	4	60	ButtonPress	Neutral	362.0
Control	0.6720999999999999	0.44	n/a	Yes	2.685	572.529	n/a	n/a	GoodResponse	0	n/a	n/a	4	60	Blank	Neutral	n/a
Control	0.6720999999999999	1.45	n/a	Yes	2.685	572.963	n/a	5.0	GoodResponse	0	0.007	572.97	4	60	Feedback	Neutral	n/a
Control	0.6720999999999999	2.685	n/a	Yes	2.685	574.418	n/a	n/a	GoodResponse	0	0.0	n/a	4	60	ISIslide	Neutral	n/a
Lose2	0.6774	0.25	0.0	Yes	2.974	577.126	0.026	n/a	GoodResponse	0	n/a	n/a	4	61	Cue	AvoidedLoss	n/a
Lose2	0.6774	4.0	0.0	Yes	2.974	577.377	0.001	n/a	GoodResponse	0	n/a	n/a	4	61	Fixation	AvoidedLoss	n/a
Lose2	0.6774	0.25	0.004	Yes	2.974	581.372	-0.004	2.0	GoodResponse	0	0.193	581.565	4	61	Target	AvoidedLoss	n/a
Lose2	0.6774	0.3	0.004	Yes	2.974	581.565	-0.004	2.0	GoodResponse	0	0.193	n/a	4	61	ButtonPress	AvoidedLoss	368.0
Lose2	0.6774	0.45	n/a	Yes	2.974	581.623	n/a	n/a	GoodResponse	0	n/a	n/a	4	61	Blank	AvoidedLoss	n/a
Lose2	0.6774	1.45	n/a	Yes	2.974	582.074	n/a	5.0	GoodResponse	0	0.017	582.091	4	61	Feedback	AvoidedLoss	n/a
Lose2	0.6774	2.974	n/a	Yes	2.974	583.528	n/a	n/a	GoodResponse	0	0.0	n/a	4	61	ISIslide	AvoidedLoss	n/a
Lose2	0.6667000000000001	0.25	0.0	No	2.879	586.521	0.021	n/a	NoResponse	-1	n/a	n/a	3	62	Cue	Loss	n/a
Lose2	0.6667000000000001	3.9	0.0	No	2.879	586.771	0.0	n/a	NoResponse	-1	n/a	n/a	3	62	Fixation	Loss	n/a
Lose2	0.6667000000000001	0.24	0.0	No	2.879	590.683	0.012	2.0	NoResponse	-1	0.373	591.056	3	62	Target	Loss	n/a
Lose2	0.6667000000000001	0.46	n/a	No	2.879	590.917	n/a	n/a	NoResponse	-1	n/a	n/a	3	62	Blank	Loss	n/a
Lose2	0.6667000000000001	0.3	0.0	No	2.879	591.056	0.012	2.0	NoResponse	-1	0.373	n/a	3	62	ButtonPress	Loss	374.0
Lose2	0.6667000000000001	1.45	n/a	No	2.879	591.368	n/a	5.0	NoResponse	-1	0.04	591.408	3	62	Feedback	Loss	n/a
Lose2	0.6667000000000001	2.879	n/a	No	2.879	592.823	n/a	n/a	NoResponse	-1	0.0	n/a	3	62	ISIslide	Loss	n/a
Lose2	0.6718999999999999	0.25	0.0	Yes	2.635	595.715	0.015	n/a	GoodResponse	0	n/a	n/a	3	63	Cue	AvoidedLoss	n/a
Lose2	0.6718999999999999	4.05	0.001	Yes	2.635	595.965	0.0	n/a	GoodResponse	0	n/a	n/a	3	63	Fixation	AvoidedLoss	n/a
Lose2	0.6718999999999999	0.23	0.004	Yes	2.635	600.011	-0.004	2.0	GoodResponse	0	0.191	600.202	3	63	Target	AvoidedLoss	n/a
Lose2	0.6718999999999999	0.3	0.004	Yes	2.635	600.202	-0.004	2.0	GoodResponse	0	0.191	n/a	3	63	ButtonPress	AvoidedLoss	380.0
Lose2	0.6718999999999999	0.47	n/a	Yes	2.635	600.245	n/a	n/a	GoodResponse	0	n/a	n/a	3	63	Blank	AvoidedLoss	n/a
Lose2	0.6718999999999999	1.45	n/a	Yes	2.635	600.713	n/a	5.0	GoodResponse	0	0.012	600.725	3	63	Feedback	AvoidedLoss	n/a
Lose2	0.6718999999999999	2.635	n/a	Yes	2.635	602.167	n/a	n/a	GoodResponse	0	0.0	n/a	3	63	ISIslide	AvoidedLoss	n/a
Win2	0.6769	0.25	0.0	Yes	3.125	604.825	0.025	n/a	GoodResponse	1	n/a	n/a	4	64	Cue	Win	n/a
Win2	0.6769	4.15	0.0	Yes	3.125	605.076	0.001	n/a	GoodResponse	1	n/a	n/a	4	64	Fixation	Win	n/a
Win2	0.6769	0.22	0.003	Yes	3.125	609.222	-0.003	2.0	GoodResponse	1	0.191	609.413	4	64	Target	Win	n/a
Win2	0.6769	0.3	0.003	Yes	3.125	609.413	-0.003	2.0	GoodResponse	1	0.191	n/a	4	64	ButtonPress	Win	386.0
Win2	0.6769	0.48	n/a	Yes	3.125	609.456	n/a	n/a	GoodResponse	1	n/a	n/a	4	64	Blank	Win	n/a
Win2	0.6769	1.45	n/a	Yes	3.125	609.924	n/a	5.0	GoodResponse	1	0.02	609.944	4	64	Feedback	Win	n/a
Win2	0.6769	3.125	n/a	Yes	3.125	611.378	n/a	n/a	GoodResponse	1	0.0	n/a	4	64	ISIslide	Win	n/a
Control	0.6818000000000001	0.25	0.0	Yes	2.779	614.521	0.021	n/a	GoodResponse	0	n/a	n/a	4	65	Cue	Neutral	n/a
Control	0.6818000000000001	4.0	0.0	Yes	2.779	614.772	0.001	n/a	GoodResponse	0	n/a	n/a	4	65	Fixation	Neutral	n/a
Control	0.6818000000000001	0.21	0.004	Yes	2.779	618.767	-0.004	2.0	GoodResponse	0	0.203	618.97	4	65	Target	Neutral	n/a
Control	0.6818000000000001	0.3	0.004	Yes	2.779	618.97	-0.004	2.0	GoodResponse	0	0.203	n/a	4	65	ButtonPress	Neutral	392.0
Control	0.6818000000000001	0.49	n/a	Yes	2.779	618.984	n/a	n/a	GoodResponse	0	n/a	n/a	4	65	Blank	Neutral	n/a
Control	0.6818000000000001	1.45	n/a	Yes	2.779	619.469	n/a	5.0	GoodResponse	0	0.036	619.505	4	65	Feedback	Neutral	n/a
Control	0.6818000000000001	2.779	n/a	Yes	2.779	620.923	n/a	n/a	GoodResponse	0	0.0	n/a	4	65	ISIslide	Neutral	n/a
Win2	0.6866	0.25	0.0	Yes	2.785	623.715	0.015	n/a	GoodResponse	1	n/a	n/a	5	66	Cue	Win	n/a
Win2	0.6866	3.9	0.0	Yes	2.785	623.966	0.001	n/a	GoodResponse	1	n/a	n/a	5	66	Fixation	Win	n/a
Win2	0.6866	0.2	0.004	Yes	2.785	627.861	-0.004	2.0	GoodResponse	1	0.176	628.037	5	66	Target	Win	n/a
Win2	0.6866	0.3	0.004	Yes	2.785	628.037	-0.004	2.0	GoodResponse	1	0.176	n/a	5	66	ButtonPress	Win	398.0
Win2	0.6866	0.5	n/a	Yes	2.785	628.061	n/a	n/a	GoodResponse	1	n/a	n/a	5	66	Blank	Win	n/a
Win2	0.6866	1.45	n/a	Yes	2.785	628.563	n/a	5.0	GoodResponse	1	0.016	628.579	5	66	Feedback	Win	n/a
Win2	0.6866	2.785	n/a	Yes	2.785	630.017	n/a	n/a	GoodResponse	1	0.0	n/a	5	66	ISIslide	Win	n/a
Control	0.6765000000000001	0.25	0.0	No	2.724	632.826	0.026	n/a	NoResponse	0	n/a	n/a	5	67	Cue	Neutral	n/a
Control	0.6765000000000001	3.95	0.001	No	2.724	633.076	0.0	n/a	NoResponse	0	n/a	n/a	5	67	Fixation	Neutral	n/a
Control	0.6765000000000001	0.19	0.004	No	2.724	637.022	-0.004	2.0	NoResponse	0	0.25	637.272	5	67	Target	Neutral	n/a
Control	0.6765000000000001	0.51	n/a	No	2.724	637.222	n/a	n/a	NoResponse	0	n/a	n/a	5	67	Blank	Neutral	n/a
Control	0.6765000000000001	0.3	0.004	No	2.724	637.272	-0.004	2.0	NoResponse	0	0.25	n/a	5	67	ButtonPress	Neutral	404.0
Control	0.6765000000000001	1.45	n/a	No	2.724	637.724	n/a	5.0	NoResponse	0	0.025	637.749	5	67	Feedback	Neutral	n/a
Control	0.6765000000000001	2.724	n/a	No	2.724	639.178	n/a	n/a	NoResponse	0	0.0	n/a	5	67	ISIslide	Neutral	n/a
Win2	0.6667000000000001	0.25	0.0	No	3.08	641.92	0.02	n/a	NoResponse	0	n/a	n/a	5	68	Cue	MissedWin	n/a
Win2	0.6667000000000001	4.0	0.0	No	3.08	642.17	0.0	n/a	NoResponse	0	n/a	n/a	5	68	Fixation	MissedWin	n/a
Win2	0.6667000000000001	0.18	0.004	No	3.08	646.166	-0.004	2.0	NoResponse	0	0.192	646.358	5	68	Target	MissedWin	n/a
Win2	0.6667000000000001	0.52	n/a	No	3.08	646.349	n/a	n/a	NoResponse	0	n/a	n/a	5	68	Blank	MissedWin	n/a
Win2	0.6667000000000001	0.3	0.004	No	3.08	646.358	-0.004	2.0	NoResponse	0	0.192	n/a	5	68	ButtonPress	MissedWin	410.0
Win2	0.6667000000000001	1.45	n/a	No	3.08	646.868	n/a	5.0	NoResponse	0	0.007	646.875	5	68	Feedback	MissedWin	n/a
Win2	0.6667000000000001	3.08	n/a	No	3.08	648.322	n/a	n/a	NoResponse	0	0.0	n/a	5	68	ISIslide	MissedWin	n/a
Win2	0.6570999999999999	0.25	0.0	No	3.219	651.431	0.031	n/a	LatePress	0	n/a	n/a	5	69	Cue	MissedWin	n/a
Win2	0.6570999999999999	3.95	0.0	No	3.219	651.682	0.001	n/a	LatePress	0	n/a	n/a	5	69	Fixation	MissedWin	n/a
Win2	0.6570999999999999	0.17	0.004	No	3.219	655.627	-0.004	2.0	LatePress	0	0.172	655.799	5	69	Target	MissedWin	n/a
Win2	0.6570999999999999	0.3	0.004	No	3.219	655.799	-0.004	2.0	LatePress	0	0.172	n/a	5	69	ButtonPress	MissedWin	416.0
Win2	0.6570999999999999	0.53	n/a	No	3.219	655.811	n/a	n/a	LatePress	0	n/a	n/a	5	69	Blank	MissedWin	n/a
Win2	0.6570999999999999	1.45	n/a	No	3.219	656.329	n/a	5.0	LatePress	0	0.006	656.335	5	69	Feedback	MissedWin	n/a
Win2	0.6570999999999999	3.219	n/a	No	3.219	657.784	n/a	n/a	LatePress	0	0.0	n/a	5	69	ISIslide	MissedWin	n/a
Lose2	0.6479	0.25	0.0	No	3.023	661.027	0.027	n/a	NoResponse	-1	n/a	n/a	4	70	Cue	Loss	n/a
Lose2	0.6479	4.05	0.001	No	3.023	661.277	0.0	n/a	NoResponse	-1	n/a	n/a	4	70	Fixation	Loss	n/a
Lose2	0.6479	0.17	0.004	No	3.023	665.323	-0.004	2.0	NoResponse	-1	0.2	665.523	4	70	Target	Loss	n/a
Lose2	0.6479	0.53	n/a	No	3.023	665.507	n/a	n/a	NoResponse	-1	n/a	n/a	4	70	Blank	Loss	n/a
Lose2	0.6479	0.3	0.004	No	3.023	665.523	-0.004	2.0	NoResponse	-1	0.2	n/a	4	70	ButtonPress	Loss	422.0
Lose2	0.6479	1.45	n/a	No	3.023	666.025	n/a	5.0	NoResponse	-1	0.017	666.042	4	70	Feedback	Loss	n/a
Lose2	0.6479	3.023	n/a	No	3.023	667.479	n/a	n/a	NoResponse	-1	0.0	n/a	4	70	ISIslide	Loss	n/a
Win2	0.6389	0.25	0.0	No	2.728	670.522	0.022	n/a	NoResponse	0	n/a	n/a	4	71	Cue	MissedWin	n/a
Win2	0.6389	4.05	0.001	No	2.728	670.772	0.0	n/a	NoResponse	0	n/a	n/a	4	71	Fixation	MissedWin	n/a
Win2	0.6389	0.18	0.004	No	2.728	674.818	-0.004	2.0	NoResponse	0	0.192	675.01	4	71	Target	MissedWin	n/a
Win2	0.6389	0.52	n/a	No	2.728	675.002	n/a	n/a	NoResponse	0	n/a	n/a	4	71	Blank	MissedWin	n/a
Win2	0.6389	0.3	0.004	No	2.728	675.01	-0.004	2.0	NoResponse	0	0.192	n/a	4	71	ButtonPress	MissedWin	428.0
Win2	0.6389	1.45	n/a	No	2.728	675.52	n/a	5.0	NoResponse	0	0.034	675.554	4	71	Feedback	MissedWin	n/a
Win2	0.6389	2.728	n/a	No	2.728	676.974	n/a	n/a	NoResponse	0	0.0	n/a	4	71	ISIslide	MissedWin	n/a
Win2	0.6437999999999999	0.25	0.0	Yes	2.784	679.716	0.016	n/a	GoodResponse	1	n/a	n/a	5	72	Cue	Win	n/a
Win2	0.6437999999999999	4.1	0.0	Yes	2.784	679.967	0.001	n/a	GoodResponse	1	n/a	n/a	5	72	Fixation	Win	n/a
Win2	0.6437999999999999	0.19	0.004	Yes	2.784	684.062	-0.004	2.0	GoodResponse	1	0.18	684.242	5	72	Target	Win	n/a
Win2	0.6437999999999999	0.3	0.004	Yes	2.784	684.242	-0.004	2.0	GoodResponse	1	0.18	n/a	5	72	ButtonPress	Win	434.0
Win2	0.6437999999999999	0.51	n/a	Yes	2.784	684.263	n/a	n/a	GoodResponse	1	n/a	n/a	5	72	Blank	Win	n/a
Win2	0.6437999999999999	1.45	n/a	Yes	2.784	684.764	n/a	5.0	GoodResponse	1	0.008	684.772	5	72	Feedback	Win	n/a
Win2	0.6437999999999999	2.784	n/a	Yes	2.784	686.219	n/a	n/a	GoodResponse	1	0.0	n/a	5	72	ISIslide	Win	n/a
Win2	0.6486	0.25	0.0	Yes	2.673	689.027	0.027	n/a	GoodResponse	1	n/a	n/a	6	73	Cue	Win	n/a
Win2	0.6486	4.0	0.0	Yes	2.673	689.278	0.001	n/a	GoodResponse	1	n/a	n/a	6	73	Fixation	Win	n/a
Win2	0.6486	0.2	0.004	Yes	2.673	693.273	-0.004	2.0	GoodResponse	1	0.17	693.443	6	73	Target	Win	n/a
Win2	0.6486	0.3	0.004	Yes	2.673	693.443	-0.004	2.0	GoodResponse	1	0.17	n/a	6	73	ButtonPress	Win	440.0
Win2	0.6486	0.5	n/a	Yes	2.673	693.474	n/a	n/a	GoodResponse	1	n/a	n/a	6	73	Blank	Win	n/a
Win2	0.6486	1.45	n/a	Yes	2.673	693.975	n/a	5.0	GoodResponse	1	0.017	693.992	6	73	Feedback	Win	n/a
Win2	0.6486	2.673	n/a	Yes	2.673	695.43	n/a	n/a	GoodResponse	1	0.0	n/a	6	73	ISIslide	Win	n/a
Lose2	0.6533	0.25	0.0	Yes	2.629	698.121	0.021	n/a	GoodResponse	0	n/a	n/a	6	74	Cue	AvoidedLoss	n/a
Lose2	0.6533	4.05	0.0	Yes	2.629	698.372	0.001	n/a	GoodResponse	0	n/a	n/a	6	74	Fixation	AvoidedLoss	n/a
Lose2	0.6533	0.21	0.004	Yes	2.629	702.417	-0.004	2.0	GoodResponse	0	0.178	702.595	6	74	Target	AvoidedLoss	n/a
Lose2	0.6533	0.3	0.004	Yes	2.629	702.595	-0.004	2.0	GoodResponse	0	0.178	n/a	6	74	ButtonPress	AvoidedLoss	446.0
Lose2	0.6533	0.49	n/a	Yes	2.629	702.634	n/a	n/a	GoodResponse	0	n/a	n/a	6	74	Blank	AvoidedLoss	n/a
Lose2	0.6533	1.45	n/a	Yes	2.629	703.119	n/a	5.0	GoodResponse	0	0.044	703.163	6	74	Feedback	AvoidedLoss	n/a
Lose2	0.6533	2.629	n/a	Yes	2.629	704.574	n/a	n/a	GoodResponse	0	0.0	n/a	6	74	ISIslide	AvoidedLoss	n/a
Lose2	0.6579	0.25	0.0	Yes	2.918	707.232	0.032	n/a	GoodResponse	0	n/a	n/a	6	75	Cue	AvoidedLoss	n/a
Lose2	0.6579	3.95	0.0	Yes	2.918	707.482	0.0	n/a	GoodResponse	0	n/a	n/a	6	75	Fixation	AvoidedLoss	n/a
Lose2	0.6579	0.22	0.0	Yes	2.918	711.444	0.012	2.0	GoodResponse	0	0.19	711.634	6	75	Target	AvoidedLoss	n/a
Lose2	0.6579	0.3	0.0	Yes	2.918	711.634	0.012	2.0	GoodResponse	0	0.19	n/a	6	75	ButtonPress	AvoidedLoss	452.0
Lose2	0.6579	0.48	n/a	Yes	2.918	711.661	n/a	n/a	GoodResponse	0	n/a	n/a	6	75	Blank	AvoidedLoss	n/a
Lose2	0.6579	1.45	n/a	Yes	2.918	712.129	n/a	5.0	GoodResponse	0	0.01	712.139	6	75	Feedback	AvoidedLoss	n/a
Lose2	0.6579	2.918	n/a	Yes	2.918	713.584	n/a	n/a	GoodResponse	0	0.0	n/a	6	75	ISIslide	AvoidedLoss	n/a
Control	0.6623	0.25	0.0	Yes	3.224	716.526	0.026	n/a	GoodResponse	0	n/a	n/a	6	76	Cue	Neutral	n/a
Control	0.6623	4.05	0.0	Yes	3.224	716.777	0.001	n/a	GoodResponse	0	n/a	n/a	6	76	Fixation	Neutral	n/a
Control	0.6623	0.22	0.004	Yes	3.224	720.822	-0.004	2.0	GoodResponse	0	0.169	720.991	6	76	Target	Neutral	n/a
Control	0.6623	0.3	0.004	Yes	3.224	720.991	-0.004	2.0	GoodResponse	0	0.169	n/a	6	76	ButtonPress	Neutral	458.0
Control	0.6623	0.48	n/a	Yes	3.224	721.056	n/a	n/a	GoodResponse	0	n/a	n/a	6	76	Blank	Neutral	n/a
Control	0.6623	1.45	n/a	Yes	3.224	721.524	n/a	5.0	GoodResponse	0	0.028	721.552	6	76	Feedback	Neutral	n/a
Control	0.6623	3.224	n/a	Yes	3.224	722.979	n/a	n/a	GoodResponse	0	0.0	n/a	6	76	ISIslide	Neutral	n/a
Lose2	0.6537999999999999	0.25	0.0	No	2.578	726.222	0.022	n/a	NoResponse	-1	n/a	n/a	5	77	Cue	Loss	n/a
Lose2	0.6537999999999999	3.95	0.0	No	2.578	726.472	0.0	n/a	NoResponse	-1	n/a	n/a	5	77	Fixation	Loss	n/a
Lose2	0.6537999999999999	0.22	0.005	No	2.578	730.417	-0.005	2.0	NoResponse	-1	0.271	730.688	5	77	Target	Loss	n/a
Lose2	0.6537999999999999	0.48	n/a	No	2.578	730.652	n/a	n/a	NoResponse	-1	n/a	n/a	5	77	Blank	Loss	n/a
Lose2	0.6537999999999999	0.3	0.005	No	2.578	730.688	-0.005	2.0	NoResponse	-1	0.271	n/a	5	77	ButtonPress	Loss	464.0
Lose2	0.6537999999999999	1.45	n/a	No	2.578	731.12	n/a	5.0	NoResponse	-1	0.042	731.162	5	77	Feedback	Loss	n/a
Lose2	0.6537999999999999	2.578	n/a	No	2.578	732.574	n/a	n/a	NoResponse	-1	0.0	n/a	5	77	ISIslide	Loss	n/a
